Year,Flower,MarTemp,MarTempx,MarTemp_any,Prec_JFM,T_JFM,Sun_JFM
801,,,,,,,
802,,,,,,,
803,,,,,,,
804,,,,,,,
805,,,,,,,
806,,,,,,,
807,,,,,,,
808,,,,,,,
809,,,,,,,
810,,,,,,,
811,,,,,,,
812,92,9.9,,9.9,,,
813,,,,,,,
814,,,,,,,
815,105,6,,6,,,
816,,,,,,,
817,,,,,,,
818,,,,,,,
819,,,,,,,
820,,,,,,,
821,,,,,,,
822,,,,,,,
823,,,,,,,
824,,,,,,,
825,,,,,,,
826,,,,,,,
827,,,,,,,
828,,,,,,,
829,,,,,,,
830,,,,,,,
831,96,8.6,,8.6,,,
832,,,,,,,
833,,,,,,,
834,,,,,,,
835,,,,,,,
836,,,,,,,
837,,,,,,,
838,,,,,,,
839,,,,,,,
840,,,,,,,
841,,,,,,,
842,,,,,,,
843,,,,,,,
844,,,,,,,
845,,,,,,,
846,,,,,,,
847,,,,,,,
848,,,,,,,
849,,,,,,,
850,,,,,,,
851,108,5.2,,5.2,,,
852,,,,,,,
853,104,6.3,,6.3,,,
854,,,5.87,5.87,,,
855,,,5.99,5.99,,,
856,,,6.12,6.12,,,
857,,,6.25,6.25,,,
858,,,6.37,6.37,,,
859,,,6.5,6.5,,,
860,,,6.62,6.62,,,
861,,,6.75,6.75,,,
862,,,6.88,6.88,,,
863,,,7,7,,,
864,100,7.4,7.13,7.4,,,
865,,,7.25,7.25,,,
866,106,5.7,7.38,5.7,,,
867,,,,,,,
868,,,,,,,
869,95,8.9,,8.9,,,
870,,,,,,,
871,,,,,,,
872,,,,,,,
873,,,,,,,
874,,,,,,,
875,,,,,,,
876,,,6.63,6.63,,,
877,,,6.51,6.51,,,
878,,,6.44,6.44,,,
879,,,6.42,6.42,,,
880,,,6.44,6.44,,,
881,,,6.44,6.44,,,
882,,,,,,,
883,,,,,,,
884,,,,,,,
885,,,,,,,
886,,,,,,,
887,,,,,,,
888,,,,,,,
